"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv1310","CERT",1E-05,"2reb00","c.37.1.11"
"Rv1311","LOW",0.014,"2tct00","a.4.1.9"
"Rv1312","LOW",0.03,"1a04A0","a.4.6.2"
"Rv1313c","MEDIUM",0.002,"1c4xA0","c.69.1.10"
"Rv1314c","MEDIUM",0.006,"1mgtA0","a.4.2.1"
"Rv1315","CERT",5E-05,"1a4iA0","c.2.1.7"
"Rv1316c","CERT",2E-06,"1mgtA0","a.4.2.1"
"Rv1317c","CERT",1E-08,"1mpgA0","a.96.1.3"
"Rv1318c","CERT",9E-07,"1fx2A0","d.58.29.1"
"Rv1319c","CERT",3E-07,"1fx2A0","d.58.29.1"
"Rv1320c","CERT",2E-07,"1fx2A0","d.58.29.1"
"Rv1321","LOW",0.024,"3bct00","a.118.1.1"
"Rv1322","GUESS",0.154,"1qcsA1","NULL"
"Rv1323","CERT",3E-09,"1qflA1","NULL"
"Rv1324","CERT",8E-06,"1qgvA0","c.47.1.8"
"Rv1323","HIGH",0.0002,"1jbwA2","NULL"
"Rv1325c","CERT",6E-09,"7taa00","b.71.1.1"
"Rv1327c","CERT",4E-09,"7taa00","b.71.1.1"
"Rv1328","MEDIUM",0.003,"1c3jA0","c.87.1.1"
"Rv1329c","HIGH",0.0007,"2tct00","a.4.1.9"
"Rv0330c","MEDIUM",0.009,"1jxhA0","c.72.1.2"
"Rv1331","LOW",0.042,"1qr4B0","NULL"
"Rv1332","LOW",0.029,"1ebfA2","NULL"
"Rv1333","HIGH",0.0006,"1mla00","c.19.1.1"
"Rv1334","LOW",0.013,"2nacA2","NULL"
"Rv1335","HIGH",0.0004,"1fmaD0","d.15.3.1"
"Rv1336","CERT",5E-08,"1f2dA0","c.79.1.1"
"Rv1337","LOW",0.047,"7reqB2","NULL"
"Rv1338","CERT",8E-05,"2liv00","c.93.1.1"
"Rv1339","CERT",1E-06,"1a7tA0","d.157.1.1"
"Rv1340","MEDIUM",0.004,"1bi5A0","c.95.1.2"
"Rv1341","LOW",0.013,"1d4aA0","c.23.5.3"
"Rv1342c","LOW",0.032,"1g8qA0","a.135.1.1"
"Rv1343c","LOW",0.08,"1gln02","NULL"
"Rv1344","MEDIUM",0.002,"1dnyA0","a.28.1.2"
"Rv1345","CERT",2E-09,"1amuA0","e.23.1.1"
"Rv1346","CERT",2E-08,"1ivhA2","NULL"
"Rv1347c","CERT",4E-05,"1qsmA0","d.108.1.1"
"Rv1348","CERT",2E-08,"1gajA0","c.37.1.12"
"Rv1349","CERT",5E-08,"1gajA0","c.37.1.12"
"Rv1350","CERT",4E-09,"1cydA0","c.2.1.2"
"Rv1351","GUESS",0.164,"1jw2A0","a.23.5.1"
"Rv1352","LOW",0.059,"1gpmA0","c.23.16.1"
"Rv1353c","CERT",5E-07,"2tct00","a.4.1.9"
"Rv1354c","HIGH",0.0009,"1qtrA0","c.69.1.7"
"Rv1355c","MEDIUM",0.003,"1poxA3","NULL"
"Rv1356c","MEDIUM",0.004,"1al300","c.94.1.1"
"Rv1357c","LOW",0.014,"1jx6A0","c.93.1.1"
"Rv1358","CERT",3E-06,"1qqeA0","a.118.8.1"
"Rv1359","CERT",1E-06,"1fx2A0","d.58.29.1"
"Rv1360","CERT",1E-09,"1ezwA0","c.1.16.3"
"Rv1361c","MEDIUM",0.002,"1dquA0","c.1.12.7"
"Rv1362c","MEDIUM",0.003,"1poxA2","NULL"
"Rv1363c","MEDIUM",0.003,"1dxy00","c.2.1.4"
"Rv1364c","HIGH",0.0001,"1drmA0","d.110.3.2"
"Rv1365c","LOW",0.038,"1mla02","NULL"
"Rv1366","MEDIUM",0.001,"1jusE0","a.4.1.9"
"Rv1367c","CERT",2E-08,"1gceA0","e.3.1.1"
"Rv1368","MEDIUM",0.002,"1qfhA0","b.1.18.10"
"Rv1369c","CERT",7E-05,"1cxqA0","NULL"
"Rv1370c","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv1371","MEDIUM",0.001,"1ltdA2","NULL"
"Rv1372","CERT",5E-10,"1bi5A0","c.95.1.2"
"Rv1373","CERT",7E-07,"1fmjA0","c.37.1.5"
"Rv1374c","GUESS",0.136,"1bhu00","b.11.1.3"
"Rv1375","HIGH",0.0005,"1bfd02","NULL"
"Rv1376","CERT",7E-05,"1al300","c.94.1.1"
"Rv1377c","CERT",2E-05,"1fp1D2","NULL"
"Rv1378c","HIGH",0.0004,"2tct00","a.4.1.9"
"Rv1379","CERT",3E-08,"1a3c00","c.61.1.1"
"Rv1380","CERT",2E-09,"3csuA0","c.78.1.1"
"Rv1381","CERT",2E-08,"1ubpC0","b.92.1.1"
"Rv1382","MEDIUM",0.008,"1d0vA0","c.39.1.1"
"Rv1383","CERT",1E-09,"1c3oB0","c.8.3.1"
"Rv1384","CERT",1E-09,"1c3oA0","a.92.1.1"
"Rv1385","CERT",5E-09,"1dqwA0","c.1.2.3"
"Rv1386","LOW",0.014,"1pvdA2","NULL"
"Rv1387","HIGH",0.0005,"2scuA0","c.2.1.8"
"Rv1388","LOW",0.018,"1bia01","NULL"
"Rv1389","CERT",3E-07,"3aky01","NULL"
"Rv1390","GUESS",0.105,"1f5xA0","a.87.1.1"
"Rv1391","CERT",1E-07,"1e20A0","c.34.1.1"
"Rv1392","CERT",1E-09,"1mxb00","d.130.1.1"
"Rv1393c","CERT",2E-07,"1gnd00","c.3.1.3"
"Rv1394c","CERT",3E-09,"1dt6A0","a.104.1.1"
"Rv1395","CERT",1E-05,"1d5yA0","a.4.1.8"
"Rv1396c","MEDIUM",0.001,"1io1A0","e.32.1.1"
"Rv1397c","GUESS",0.112,"1cz4A1","NULL"
"Rv1398c","LOW",0.025,"1a6m00","a.1.1.2"
"Rv1399c","CERT",7E-09,"1qfmA2","NULL"
"Rv1400c","CERT",1E-08,"1qfmA2","NULL"
"Rv1401","LOW",0.012,"1jykA0","c.68.1.13"
"Rv1402","CERT",5E-06,"1lucA0","c.1.16.1"
"Rv1403c","CERT",3E-06,"1vid00","c.66.1.1"
"Rv1404","HIGH",0.0003,"1bi000","a.4.5.24"
"Rv1405c","CERT",3E-06,"1fp2A2","NULL"
"Rv1406","CERT",1E-09,"1fmtA0","b.46.1.1"
"Rv1407","CERT",3E-07,"1fpxA0","a.4.5.29"
"Rv1408","CERT",8E-08,"1dvjA0","c.1.2.3"
"Rv1409","CERT",1E-06,"1d1gA0","c.71.1.1"
"Rv1410c","MEDIUM",0.001,"1bykA0","c.93.1.1"
"Rv1411c","LOW",0.024,"1d4oA0","c.31.1.4"
"Rv1412","MEDIUM",0.001,"1pymA0","c.1.12.7"
"Rv1413","HIGH",0.0003,"1pvdA2","NULL"
"Rv1414","LOW",0.016,"1mpyA1","NULL"
"Rv1415","MEDIUM",0.002,"1xjo00","c.56.5.4"
"Rv1416","MEDIUM",0.004,"1bmtA2","NULL"
"Rv1417","MEDIUM",0.002,"1gca00","c.93.1.1"
"Rv1418","LOW",0.058,"1amuA0","e.23.1.1"
"Rv1419","LOW",0.035,"1dqgA0","b.42.2.2"
"Rv1420","HIGH",0.0001,"1ebmA0","a.96.1.3"
"Rv1421","CERT",8E-05,"3aky01","NULL"
"Rv1422","CERT",8E-05,"1ezwA0","c.1.16.3"
"Rv1423","CERT",8E-05,"1in4A2","NULL"
"Rv1424c","LOW",0.085,"1vpfA0","g.17.1.1"
"Rv1425","LOW",0.016,"1qsmA0","d.108.1.1"
"Rv1426c","CERT",7E-08,"1qfmA2","NULL"
"Rv1427c","CERT",5E-10,"1amuA0","e.23.1.1"
"Rv1428c","LOW",0.013,"1gg4A3","NULL"
"Rv1429","HIGH",0.0003,"1qtrA0","c.69.1.7"
"Rv1430","MEDIUM",0.001,"1c4xA0","c.69.1.10"
"Rv1431","MEDIUM",0.001,"1xel00","c.2.1.2"
"Rv1432","CERT",5E-08,"1gosA0","c.3.1.2"
"Rv1433","MEDIUM",0.005,"1fohA5","NULL"
"Rv1434","GUESS",0.462,"2pde00","NULL"
"Rv1435c","MEDIUM",0.005,"1qflA1","NULL"
"Rv1436","CERT",2E-09,"1dssG0","NULL"
"Rv1437","CERT",4E-10,"16pk00","c.86.1.1"
"Rv1438","CERT",3E-09,"1amk00","c.1.1.1"
"Rv1439c","GUESS",0.189,"1ii7A0","d.159.1.4"
"Rv1440","LOW",0.077,"1f3yA0","d.113.1.1"
"Rv1441c","LOW",0.012,"1qcxA0","b.80.1.2"
"Rv1442","CERT",3E-10,"1dmr00","b.52.2.2"
"Rv1443c","MEDIUM",0.001,"1cx4A2","NULL"
"Rv1444c","HIGH",0.0009,"1qsdA0","a.7.5.1"
"Rv1445c","MEDIUM",0.01,"1edg00","c.1.8.3"
"Rv1446c","MEDIUM",0.006,"2tct00","a.4.1.9"
"Rv1447c","CERT",5E-10,"1dpgA0","c.2.1.3"
"Rv1448c","HIGH",0.0004,"1ak100","c.92.1.1"
"Rv1449c","CERT",9E-09,"1qs0A1","NULL"
"Rv1450c","CERT",1E-05,"1io1A0","e.32.1.1"
"Rv1451","HIGH",0.0006,"1iow00","c.30.1.2"
"Rv1452C","HIGH",0.0001,"1bjwA0","c.67.1.1"
"Rv1453","HIGH",0.0007,"1fohA5","NULL"
"Rv1454c","CERT",2E-09,"2ohxA0","b.35.1.2"
"Rv1455","HIGH",0.0003,"1iow00","c.30.1.2"
"Rv1456c","MEDIUM",0.001,"1fx2A0","d.58.29.1"
"Rv1457c","MEDIUM",0.006,"1qd1A1","NULL"
"Rv1458c","CERT",4E-08,"1gajA0","c.37.1.12"
"Rv1459c","MEDIUM",0.002,"2sli02","NULL"
"Rv1460","HIGH",0.0001,"1jusE0","a.4.1.9"
"Rv1461","CERT",3E-08,"1vdeA0","b.86.1.2"
"Rv1462","HIGH",0.0004,"1qfmA2","NULL"
"Rv1463","CERT",2E-08,"1gajA0","c.37.1.12"
"Rv1464","CERT",4E-10,"1c0nA0","c.67.1.3"
"Rv1465","LOW",0.079,"1qspA0","a.24.10.2"
"Rv1466","GUESS",0.125,"1j9yA0","c.1.8.3"
"Rv1467c","CERT",2E-08,"1ivhA2","NULL"
"Rv1468c","LOW",0.013,"1jbwA2","NULL"
"Rv1469","CERT",1E-05,"1f5sA0","c.108.1.4"
"Rv1470","CERT",4E-05,"1bjx00","NULL"
"Rv1471","CERT",5E-05,"1eejA1","NULL"
"Rv1472","CERT",4E-09,"1ef8A0","c.14.1.3"
"Rv1473","CERT",1E-07,"1gajA0","c.37.1.12"
"Rv1474c","CERT",3E-06,"1jusE0","a.4.1.9"
"Rv1475c","CERT",1E-09,"1amj00","c.8.2.1"
"Rv1476","MEDIUM",0.003,"2tpsA0","c.1.3.1"
"Rv1477","GUESS",0.136,"1dn2A1","NULL"
"Rv1478","GUESS",0.104,"1a0tP0","f.4.3.2"
"Rv1479","CERT",3E-08,"1g8pA0","c.37.1.20"
"Rv1480","MEDIUM",0.001,"2tpsA0","c.1.3.1"
"Rv1481","CERT",6E-07,"1jeqB0","b.131.1.2"
"Rv1482","MEDIUM",0.001,"1fwrA0","c.1.10.1"
"Rv1483","CERT",6E-09,"1cydA0","c.2.1.2"
"Rv1484","CERT",1E-08,"1cydA0","c.2.1.2"
"Rv1485","CERT",3E-09,"1ak100","c.92.1.1"
"Rv1486c","HIGH",0.0009,"1bykA0","c.93.1.1"
"Rv1487","MEDIUM",0.005,"1vdc02","NULL"
"Rv1488","MEDIUM",0.005,"1jusE0","a.4.1.9"
"Rv1489","GUESS",0.213,"1byuA0","c.37.1.8"
"Rv1490","HIGH",0.0005,"1xel00","c.2.1.2"
"Rv1491c","MEDIUM",0.003,"1lucA0","c.1.16.1"
"Rv1492","CERT",4E-10,"7reqB1","NULL"
"Rv1493","CERT",5E-10,"7reqA1","NULL"
"Rv1494","LOW",0.021,"1ecmA0","a.130.1.1"
"Rv1495","GUESS",0.177,"1bg601","NULL"
"Rv1496","CERT",9E-07,"1fts02","NULL"
"Rv1497","CERT",7E-09,"1gceA0","e.3.1.1"
"Rv1498c","CERT",2E-05,"1vid00","c.66.1.1"
"Rv1499","GUESS",0.195,"1qdbA0","a.138.1.3"
"Rv1500","CERT",5E-08,"1foaA0","c.68.1.10"
"Rv1501","GUESS",0.275,"2pia03","NULL"
"Rv1502","LOW",0.055,"1j79A0","c.1.9.4"
"Rv1503c","LOW",0.034,"1mucA2","NULL"
"Rv1504c","CERT",1E-07,"1d2fA0","c.67.1.3"
"Rv1505c","CERT",6E-07,"1lxa00","b.81.1.1"
"Rv1506c","HIGH",0.0007,"1jsxA0","c.66.1.20"
"Rv1507c","GUESS",0.132,"1ucyE0","NULL"
"Rv1508c","MEDIUM",0.003,"1bn6A0","c.69.1.8"
"Rv1509","CERT",4E-06,"1fp2A2","NULL"
"Rv1510","LOW",0.011,"1bkjA0","d.90.1.1"
"Rv1511","CERT",2E-08,"1qrrA0","c.2.1.2"
"Rv1512","CERT",8E-09,"1xel00","c.2.1.2"
"Rv1513","MEDIUM",0.008,"1j4fA0","None"
"Rv1514c","CERT",2E-07,"1qg8A0","c.68.1.1"
"Rv1515c","CERT",5E-05,"1im8A0","c.66.1.14"
"Rv1516c","CERT",3E-07,"1qg8A0","c.68.1.1"
"Rv1517","HIGH",0.0002,"1c0pA1","NULL"
"Rv1518","CERT",2E-07,"1qg8A0","c.68.1.1"
"Rv1519","GUESS",0.203,"1mpgA1","NULL"
"Rv1520","CERT",5E-07,"1qg8A0","c.68.1.1"
"Rv1521","CERT",2E-09,"1amuA0","e.23.1.1"
"Rv1522c","CERT",5E-06,"1c1gB0","NULL"
"Rv1523","CERT",5E-07,"1fpqA0","a.4.5.29"
"Rv1524","CERT",2E-09,"1iirA0","c.87.1.5"
"Rv1525","CERT",8E-06,"1qg8A0","c.68.1.1"
"Rv1526c","CERT",1E-09,"1iirA0","c.87.1.5"
"Rv1527c","CERT",6E-09,"1mla00","c.19.1.1"
"Rv1528c","LOW",0.015,"1qtrA0","c.69.1.7"
"Rv1529","CERT",6E-10,"1amuA0","e.23.1.1"
"Rv1530","CERT",2E-09,"2ohxA0","b.35.1.2"
"Rv1531","MEDIUM",0.006,"1cz4A1","NULL"
"Rv1532c","LOW",0.053,"1ak500","c.1.5.1"
"Rv1533","CERT",2E-08,"1gox00","c.1.4.1"
"Rv1534","CERT",4E-07,"2tct00","a.4.1.9"
"Rv1535","GUESS",0.39,"1dtyA0","c.67.1.4"
"Rv1536","CERT",4E-10,"1ile00","a.27.1.1"
"Rv1537","CERT",5E-07,"1im4A0","e.8.1.7"
"Rv1538c","CERT",3E-06,"1a5300","c.1.2.4"
"Rv1539","MEDIUM",0.007,"1qg3A0","b.1.2.1"
"Rv1540","LOW",0.012,"1c28A0","b.22.1.1"
"Rv1541c","LOW",0.043,"1fqtA0","b.33.1.1"
"Rv1542c","LOW",0.013,"2vhbA0","NULL"
"Rv1543","CERT",1E-08,"1cydA0","c.2.1.2"
"Rv1544","CERT",7E-09,"1cydA0","c.2.1.2"
"Rv1545","LOW",0.09,"1iow00","c.30.1.2"
"Rv1546","GUESS",0.112,"1ggxA0","d.22.1.1"
"Rv1547","CERT",9E-05,"1psdA0","c.2.1.4"
"Rv1548c","HIGH",0.0008,"1a6cA0","b.121.4.2"
"Rv1549","CERT",7E-07,"1amuA0","e.23.1.1"
"Rv1550","CERT",4E-09,"1amuA0","e.23.1.1"
"Rv1551","HIGH",0.0008,"1e2xA0","a.4.5.6"
"Rv1552","CERT",5E-09,"1fumA2","NULL"
"Rv1553","CERT",1E-05,"1fumB1","NULL"
"Rv1554","HIGH",0.0001,"1fumC0","None"
"Rv1555","MEDIUM",0.003,"1fumD0","None"
"Rv1556","CERT",1E-07,"2tct00","a.4.1.9"
"Rv1557","MEDIUM",0.001,"1bjnA0","c.67.1.4"
"Rv1558","GUESS",0.164,"1f6fB0","b.1.2.1"
"Rv1559","CERT",2E-08,"2tysB0","NULL"
"Rv1560","GUESS",0.273,"3chy00","c.23.1.1"
"Rv1561","LOW",0.022,"1psdA2","NULL"
"Rv1562c","CERT",3E-09,"1uok00","b.71.1.1"
"Rv1563c","CERT",3E-06,"2tysA0","c.1.2.4"
"Rv1564c","CERT",1E-08,"1qhoA4","NULL"
"Rv1565c","HIGH",0.0004,"1gceA0","e.3.1.1"
"Rv1566c","GUESS",0.124,"1gjwA1","NULL"
"Rv1567c","GUESS",0.239,"1qf6A0","c.51.1.1"
"Rv1568","CERT",3E-10,"1dtyA0","c.67.1.4"
"Rv1569","CERT",3E-09,"1dtyA0","c.67.1.4"
"Rv1570","CERT",3E-05,"1byi00","c.37.1.10"
"Rv1571","MEDIUM",0.009,"1a6m00","a.1.1.2"
"Rv1572c","GUESS",0.98,"1jenB0","d.156.1.1"
"Rv1573","MEDIUM",0.01,"1mpyA1","NULL"
"Rv1574","LOW",0.029,"1dxy01","NULL"
"Rv1575","GUESS",0.147,"1ebmA0","a.96.1.3"
"Rv1576c","LOW",0.097,"1qba04","NULL"
"Rv1577c","MEDIUM",0.005,"1gg4A1","NULL"
"Rv1578c","MEDIUM",0.01,"1ezwA0","c.1.16.3"
"Rv1579c","GUESS",0.135,"2scuB2","NULL"
"Rv1580c","GUESS",0.253,"1wba00","b.42.4.1"
"Rv1581c","MEDIUM",0.004,"1mgtA0","a.4.2.1"
"Rv1582c","MEDIUM",0.004,"1a5t02","NULL"
"Rv1583c","LOW",0.09,"1c0nA0","c.67.1.3"
"Rv1584c","GUESS",0.17,"2mtaC0","a.3.1.1"
"Rv1585c","LOW",0.069,"1bj4A0","c.67.1.4"
"Rv1586c","CERT",6E-05,"2rslA0","c.53.1.1"
"Rv1587c","LOW",0.061,"1bhu00","b.11.1.3"
"Rv1588c","GUESS",0.271,"1f15B0","b.121.4.5"
"Rv1589","CERT",8E-07,"1a5300","c.1.2.4"
"Rv1590","GUESS",0.133,"1ef4A0","a.4.11.1"
"Rv1591","MEDIUM",0.01,"1ge5A0","d.92.1.12"
"Rv1592c","CERT",2E-05,"1qtrA0","c.69.1.7"
"Rv1593c","HIGH",0.0004,"1jrkA0","d.113.1.1"
"Rv1594","CERT",8E-06,"1ecxA0","c.67.1.3"
"Rv1595","CERT",7E-08,"1fumA2","NULL"
"Rv1596","CERT",2E-06,"1qpoA2","NULL"
"Rv1597","CERT",2E-05,"1dusA0","c.66.1.4"
"Rv1598c","MEDIUM",0.006,"1a0i00","b.40.4.6"
"Rv1599","MEDIUM",0.002,"1dxy02","NULL"
"Rv1600","CERT",3E-09,"1bjwA0","c.67.1.1"
"Rv1601","HIGH",0.0006,"8abp00","c.93.1.1"
"Rv1602","CERT",2E-08,"1qdlB0","c.23.16.1"
"Rv1603","CERT",3E-08,"1a5300","c.1.2.4"
"Rv1604","CERT",4E-09,"1imbA0","e.7.1.1"
"Rv1605","CERT",2E-08,"1jvnA0","c.1.2.1"
"Rv1606","LOW",0.013,"1aly00","b.22.1.1"
"Rv1607","LOW",0.012,"1c1gA0","h.1.5.1"
"Rv1608c","CERT",4E-07,"1prxA0","c.47.1.10"
"Rv1609","CERT",7E-10,"1qdlA0","d.161.1.1"
"Rv1610","MEDIUM",0.001,"1a1vA2","NULL"
"Rv1611","CERT",5E-09,"1a5300","c.1.2.4"
"Rv1612","CERT",1E-09,"2tysB0","NULL"
"Rv1613","CERT",2E-09,"2tysA0","c.1.2.4"
"Rv1614","HIGH",0.0007,"1fumA2","NULL"
"Rv1615","LOW",0.067,"2mhr00","a.24.4.1"
"Rv1616","LOW",0.016,"1eejA1","NULL"
"Rv1617","CERT",5E-10,"1a49A0","NULL"
"Rv1618","HIGH",0.0006,"1mkaA0","d.38.1.2"
"Rv1619","MEDIUM",0.001,"1ezwA0","c.1.16.3"
"Rv1620c","CERT",8E-08,"1gajA0","c.37.1.12"
"Rv1621c","CERT",1E-07,"1gajA0","c.37.1.12"
"Rv1622c","MEDIUM",0.002,"1gewA0","c.67.1.1"
"Rv1623c","LOW",0.01,"1qtsA0","b.1.10.1"
"Rv1624c","MEDIUM",0.006,"1gkxA0","a.29.5.1"
"Rv1625c","CERT",2E-07,"1fx2A0","d.58.29.1"
"Rv1626","CERT",6E-07,"1a04A0","a.4.6.2"
"Rv1627c","CERT",2E-08,"1qflA1","NULL"
"Rv1628c","LOW",0.071,"1d2eA1","NULL"
"Rv1629","CERT",1E-07,"1a7600","a.60.7.1"
"Rv1630","CERT",4E-05,"1go3E0","b.40.4.5"
"Rv1631","CERT",1E-05,"3aky01","NULL"
"Rv1632c","LOW",0.016,"1jc4A0","d.32.1.4"
"Rv1633","CERT",5E-10,"1d2mA0","c.37.1.19"
"Rv1634","MEDIUM",0.002,"1ee9A0","c.2.1.7"
"Rv1635c","MEDIUM",0.004,"1vdeA0","b.86.1.2"
"Rv1636","CERT",9E-07,"1mjhA0","c.26.2.4"
"Rv1637c","CERT",1E-07,"1qh5A0","d.157.1.2"
"Rv1638","CERT",1E-06,"1gajA0","c.37.1.12"
"Rv1639c","CERT",3E-07,"1dqyA0","c.69.1.3"
"Rv1640c","CERT",3E-09,"1e1oA2","NULL"
"Rv1641","MEDIUM",0.002,"1jdqA0","d.68.3.3"
"Rv1642","GUESS",0.292,"1j5aM0","NULL"
"Rv1643","LOW",0.055,"1ft9A1","NULL"
"Rv1644","CERT",6E-05,"1d3aA0","NULL"
"Rv1645c","MEDIUM",0.007,"1fp2A2","NULL"
"Rv1646","GUESS",0.141,"1gof01","NULL"
"Rv1647","CERT",1E-06,"1fx2A0","d.58.29.1"
"Rv1648","MEDIUM",0.002,"1prxA0","c.47.1.10"
"Rv1649","CERT",1E-07,"1pysA0","d.104.1.1"
"Rv1650","CERT",3E-10,"1pysB0","a.6.1.1"
"Rv1651c","HIGH",0.0002,"1io1A0","e.32.1.1"
"Rv1652","CERT",8E-08,"1dssG0","NULL"
"Rv1653","MEDIUM",0.001,"1j79A0","c.1.9.4"
"Rv1654","CERT",2E-05,"1bjwA0","c.67.1.1"
"Rv1655","CERT",9E-10,"1dtyA0","c.67.1.4"
"Rv1656","CERT",2E-09,"3csuA0","c.78.1.1"
"Rv1657","MEDIUM",0.001,"2pgd02","NULL"
"Rv1658","CERT",2E-06,"1gpmA0","c.23.16.1"
"Rv1659","CERT",1E-09,"1c3cA0","a.127.1.1"
"Rv1660","CERT",7E-10,"1bi5A0","c.95.1.2"
"Rv1661","CERT",2E-09,"1mla00","c.19.1.1"
"Rv1662","CERT",2E-09,"1mla00","c.19.1.1"
"Rv1663","CERT",3E-08,"1qrrA0","c.2.1.2"
"Rv1664","CERT",5E-09,"1mla00","c.19.1.1"
"Rv1665","CERT",6E-10,"1bi5A0","c.95.1.2"
"Rv1666c","CERT",5E-09,"1dt6A0","a.104.1.1"
"Rv1667c","HIGH",0.0008,"1f2tB0","c.37.1.12"
"Rv1668c","CERT",4E-07,"1gajA0","c.37.1.12"
"Rv1669","GUESS",0.457,"1fseF0","a.4.6.2"
"Rv1670","LOW",0.039,"1cwyA0","c.1.8.1"
"Rv1671","LOW",0.015,"1a7701","NULL"
"Rv1672c","CERT",4E-07,"1ja5A0","None"
"Rv1673c","NULL","NULL","NULL","NULL"
"Rv1674c","CERT",2E-05,"1e0cA1","NULL"
"Rv1675c","CERT",2E-08,"1ft9A0","a.4.5.4"
"Rv1676","HIGH",0.0001,"1prxA0","c.47.1.10"
"Rv1677","CERT",6E-06,"1eejA0","c.47.1.9"
"Rv1678","MEDIUM",0.006,"1dxeA0","c.1.12.5"
"Rv1679","CERT",1E-08,"1ivhA2","NULL"
"Rv1680","CERT",1E-05,"1lst00","c.94.1.1"
"Rv1681","HIGH",0.001,"1bfd00","c.31.1.3"
"Rv1682","CERT",1E-05,"1c1gA0","h.1.5.1"
"Rv1683","CERT",6E-10,"1amuA0","e.23.1.1"
"Rv1684","LOW",0.089,"1drmA0","d.110.3.2"
"Rv1685c","CERT",2E-05,"1jusE0","a.4.1.9"
"Rv1686c","HIGH",0.0005,"1d2fA0","c.67.1.3"
"Rv1687c","CERT",1E-08,"1gajA0","c.37.1.12"
"Rv1688","CERT",1E-07,"1bnkA0","b.46.1.2"
"Rv1689","CERT",1E-09,"2ts100","c.26.1.1"
"Rv1690","LOW",0.027,"1e20A0","c.34.1.1"
"Rv1691","CERT",9E-06,"1ihgA1","NULL"
"Rv1692","CERT",2E-06,"1qq5A0","c.108.1.1"
"Rv1693","LOW",0.059,"1fpoA2","NULL"
"Rv1694","HIGH",0.0002,"1fp2A2","NULL"
"Rv1695","HIGH",0.0006,"2tpsA0","c.1.3.1"
"Rv1696","CERT",5E-06,"1qu7A0","h.4.5.1"
"Rv1697","HIGH",0.0002,"1ig3A2","NULL"
"Rv1698","HIGH",0.0002,"1bykA0","c.93.1.1"
"Rv1699","CERT",1E-07,"1c3oB0","c.8.3.1"
"Rv1700","CERT",2E-06,"1f3yA0","d.113.1.1"
"Rv1701","CERT",4E-08,"1a0p00","a.60.9.1"
"Rv1702c","LOW",0.011,"1jxhA0","c.72.1.2"
"Rv1703c","CERT",2E-07,"1vid00","c.66.1.1"
"Rv1704c","MEDIUM",0.001,"1fwkA0","d.14.1.5"
"Rv1703c","LOW",0.059,"1iraY2","NULL"
"Rv0706","MEDIUM",0.001,"1fnf00","b.1.2.1"
"Rv1707","LOW",0.045,"2mprA0","f.4.3.2"
"Rv1708","CERT",1E-07,"1byi00","c.37.1.10"
"Rv1709","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv1710","HIGH",0.0004,"1a4mA0","c.1.9.1"
"Rv1711","LOW",0.027,"1c05A0","d.66.1.2"
"Rv1712","CERT",5E-06,"1qf9A0","c.37.1.1"
"Rv1713","CERT",3E-06,"1f60A3","NULL"
"Rv1714","CERT",3E-09,"1cydA0","c.2.1.2"
"Rv1715","CERT",7E-08,"2pgd00","a.100.1.1"
"Rv1716","LOW",0.045,"1bi5A1","NULL"
"Rv1717","MEDIUM",0.006,"1ft9A0","a.4.5.4"
"Rv1718","CERT",5E-05,"1fwrA0","c.1.10.1"
"Rv1719","HIGH",0.0004,"1e2xA0","a.4.5.6"
"Rv1720c","MEDIUM",0.006,"1al300","c.94.1.1"
"Rv1721c","MEDIUM",0.009,"1fpqA0","a.4.5.29"
"Rv1722","CERT",1E-07,"1iow00","c.30.1.2"
"Rv1723","CERT",8E-09,"1gceA0","e.3.1.1"
"Rv1724c","LOW",0.01,"1gdhA2","NULL"
"Rv1725c","MEDIUM",0.002,"2tct00","a.4.1.9"
"Rv1726","CERT",5E-08,"1f0xA0","d.58.32.2"
"Rv1727","HIGH",0.0008,"1dusA0","c.66.1.4"
"Rv1728c","LOW",0.014,"1wod00","c.94.1.1"
"Rv1729c","LOW",0.033,"1qq5A0","c.108.1.1"
"Rv1730c","CERT",3E-08,"1gceA0","e.3.1.1"
"Rv1731","MEDIUM",0.003,"2tpsA0","c.1.3.1"
"Rv1732c","CERT",1E-07,"1qq2A0","c.47.1.10"
"Rv1733c","GUESS",0.109,"1pysB2","NULL"
"Rv1734c","LOW",0.042,"1mpyA2","NULL"
"Rv1735c","MEDIUM",0.01,"1jsxA0","c.66.1.20"
"Rv1736c","CERT",2E-08,"1dmr00","b.52.2.2"
"Rv1737c","MEDIUM",0.005,"1a0tP0","f.4.3.2"
"Rv1738","LOW",0.073,"1mla02","NULL"
"Rv1739c","HIGH",0.0003,"1f0xA0","d.58.32.2"
"Rv1740","LOW",0.054,"1dw9A0","a.35.1.4"
"Rv1741","GUESS",0.636,"1j6wA0","d.185.1.2"
"Rv1742","LOW",0.017,"1mpgA0","a.96.1.3"
"Rv1743","CERT",2E-07,"1fmk03","NULL"
"Rv1744c","LOW",0.014,"1f39A0","b.87.1.1"
"Rv1745c","CERT",1E-06,"1f3yA0","d.113.1.1"
"Rv1746","CERT",1E-06,"1fmk03","NULL"
